compute_per_task,price_pass_through,elasticity,energy_per_compute,price_ratio,task_ratio,total_compute_ratio,total_energy_ratio,revenue_ratio,kind
0.5,0.5,0.5,1.0,0.75,1.1547005383792515,0.5773502691896257,0.5773502691896257,0.8660254037844386,SYNTHETIC_SENSITIVITY
0.5,0.5,0.5,0.8,0.75,1.1547005383792515,0.5773502691896257,0.4618802153517006,0.8660254037844386,SYNTHETIC_SENSITIVITY
0.5,0.5,1.0,1.0,0.75,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,SYNTHETIC_SENSITIVITY
0.5,0.5,1.0,0.8,0.75,1.3333333333333333,0.6666666666666666,0.5333333333333333,1.0,SYNTHETIC_SENSITIVITY
0.5,0.5,1.5,1.0,0.75,1.539600717839002,0.769800358919501,0.769800358919501,1.1547005383792515,SYNTHETIC_SENSITIVITY
0.5,0.5,1.5,0.8,0.75,1.539600717839002,0.769800358919501,0.6158402871356009,1.1547005383792515,SYNTHETIC_SENSITIVITY
0.5,0.5,2.0,1.0,0.75,1.7777777777777777,0.8888888888888888,0.8888888888888888,1.3333333333333333,SYNTHETIC_SENSITIVITY
0.5,0.5,2.0,0.8,0.75,1.7777777777777777,0.8888888888888888,0.7111111111111111,1.3333333333333333,SYNTHETIC_SENSITIVITY
0.5,1.0,0.5,1.0,0.5,1.4142135623730951,0.7071067811865476,0.7071067811865476,0.7071067811865476,SYNTHETIC_SENSITIVITY
0.5,1.0,0.5,0.8,0.5,1.4142135623730951,0.7071067811865476,0.5656854249492381,0.7071067811865476,SYNTHETIC_SENSITIVITY
0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,SYNTHETIC_SENSITIVITY
0.5,1.0,1.0,0.8,0.5,2.0,1.0,0.8,1.0,SYNTHETIC_SENSITIVITY
0.5,1.0,1.5,1.0,0.5,2.8284271247461903,1.4142135623730951,1.4142135623730951,1.4142135623730951,SYNTHETIC_SENSITIVITY
0.5,1.0,1.5,0.8,0.5,2.8284271247461903,1.4142135623730951,1.1313708498984762,1.4142135623730951,SYNTHETIC_SENSITIVITY
0.5,1.0,2.0,1.0,0.5,4.0,2.0,2.0,2.0,SYNTHETIC_SENSITIVITY
0.5,1.0,2.0,0.8,0.5,4.0,2.0,1.6,2.0,SYNTHETIC_SENSITIVITY
