year,n_months,BTC_USD,BTC_real_USD,BTC_KRW,BTC_real_KRW,SP500_price,CPI,USD_broad,cash_quote_proxy
2017,12,13.24240525185695,12.945378354330277,11.629599838782074,11.454307229093208,0.1941996489237683,0.021299307195522532,-0.06986512498035424,0.00894453326896949
2018,12,-0.7336921748551734,-0.7389199910984672,-0.7223579629270388,-0.7259761613735602,-0.06237259734965095,0.020023809043401064,0.04986541398259248,0.019335550636741416
2019,12,0.9388627954472812,0.8949098411507674,1.013100063465441,0.9983428341872436,0.2887807407702896,0.023195274699624457,-0.007773818568212243,0.021619218989689548
2020,12,3.0551731556675668,3.0023256816588857,2.8117841518547597,2.7885707548968774,0.1625892199406953,0.013204191315779434,-0.029232835378349753,0.004457641020806591
2021,12,0.5931607742730294,0.48651325497828335,0.7434835925395955,0.6813120803488744,0.268927362908572,0.07174340285065539,0.03562891169265403,0.00044175424640924277
2022,12,-0.6425314679780116,-0.6640478600828716,-0.6210007700860101,-0.6391738663959403,-0.19442824232404154,0.06404600402357152,0.05328279104464673,0.018622702720016537
2023,12,1.5588760510555923,1.4767492755709308,1.6213971144052741,,0.24230498762859742,0.033159099427102934,-0.024746017314306035,0.05343154405384287
2024,12,1.2312494001292649,1.1689845563825059,1.5542609343943194,,0.23309006819949563,0.028706909675099812,0.09167899558185733,0.05351911539387033
2025,12,-0.07085543154270779,-0.09487124991086793,-0.09179774378832795,,0.16387804061119104,0.02653304114557753,-0.07373208795033948,0.04319029306004496
2026,8,-0.10368751140302856,-0.12541590882091402,-0.15103003528932457,,0.12280184062522825,0.024844263275578093,-0.009835016902499993,0.025087770715141122
